ano,mes,tipo_despesa,valor_liquido,fornecedor,parlamentar_id
2020,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2019,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2019,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2019,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2019,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2019,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2019,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2019,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),18880.0,,cmt-180002533557
2019,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2018,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2026,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539131
2026,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539131
2026,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539131
2026,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539131
2026,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),30000.0,,cmt-180002539039
2026,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2026,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2026,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2026,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2026,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2026,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2026,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2025,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2025,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2025,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),15322.58,,cmt-180002539039
2025,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2025,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2025,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2025,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2025,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
2025,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002539039
