parlamentar_id,ano,numero_ano,nome_proponente,nome_concedente,valor_total,objeto,situacao,tipo_termo
PI-EXEC-GOVERNADOR,2024,89/2024,CENTRO DE REINTEGRAÇÃO FAMILIAR E INCENTIVO À ADOÇÃO - CRIA ,"SECRETARIA DE ESTADO DA ASSISTÊNCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC",1088066.34,"Implantação do serviço de acolhimento familiar no Território de Desenvolvimento(TD) Entre Rios, durante o período de 12 meses, prevendo o pagamento de pessoal, o pagamento das Bolsas-Auxílio por criança/adolescente para cada Família Acolhedora e a aquisição dos materiais de consumo e de serviços de pessoa jurídica necessários à realização das metas previstas",,Colaboração
PI-EXEC-GOVERNADOR,2024,88/2024,FUNDAÇÃO EDUCACIONAL MANDACARU – FEMAN,SECRETARIA DE ESTADO DA EDUCAÇÃO -SEDUC,406183.71,"A proposta tem por mérito o enfrentamento da vulnerabilidade social de crianças e jovens no município de Teresina contribuindo para a inserção e o acompanhamento no sistema educacional, assistência psicossocial, objetivando o fortalecimento dos laços familiares e educacionais. Realização de um Projeto de Interveção Social, para melhorias da aprendizagem e da autoestima das crianças e jovens de baixa renda, com o intuito de inseri-los no contexto socioeconômico, combater a violência doméstica/familiar e a desigualdade social, para que seja possível o exercício pleno da cidadania, com bem preceitua a constituição de 1988, determinada de ""Cidadã.""",,Fomento
PI-EXEC-GOVERNADOR,2024,87/2024,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JOSÉ DE FREITAS-PI (APAE DE JOSÉ DE FREITAS),SECRETARIA  DE ESTADO PARA INCLUSÃO DA PESSOA  COM DEFICIÊNCIA - SEID,25000.0,PROJETO ESPORTE INCLUSIVO: Manutenção e aquisição de equipamentos esportivos e de lazer.,,Fomento
PI-EXEC-GOVERNADOR,2024,2/2024,PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI,SECRETARIA DE ESTADO DA DEFESA CIVIL - SEDEC,322551.76,APOIO RECUPERAÇÃO DE ESTRADAS VICINAIS NA ZONA RURAL NO MUNICÍPIO DE ALAGOINHA DO PIAUI.,Termo em elaboração,
PI-EXEC-GOVERNADOR,2024,86/2024,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ANISIO DE ABREU,SECRETARIA  DE ESTADO PARA INCLUSÃO DA PESSOA  COM DEFICIÊNCIA - SEID,50000.0,Construção de uma Sala de Integração Sensorial e aquisição de materiais e equipamentos necessários ao funcionamento da mesma.,,Fomento
PI-EXEC-GOVERNADOR,2024,85/2024,ASSOCIAÇÃO PARA O BEM-ESTAR DO MENOR CARENTE DE ESPERANTINA-PI (AMARE),SECRETARIA DE ESTADO DA EDUCAÇÃO -SEDUC,600000.0,"O presente Termo de Fomento tem como objeto contribuir no custeio das ações de enfrentamento da vulnerabilidade social da AMARE para garantir o pleno acesso à Escola e Educação Integral de 350 crianças e adolescentes no município de Esperantina-PI, visando a inserção e permanência do assistido no sistema educacional, sustentando seu desempenho escolar e o desenvolvimento de suas habilidades socioemocionais, alimentação adequada e acompanhamento psicossocial, fortalecendo os laços familiares e educacionais.",,Fomento
PI-EXEC-GOVERNADOR,2024,84/2024,ASSOCIAÇÃO DE FAMILIARES E AMIGOS DE PESSOAS COM SÍNDROME DE DOWN TERESINA - PI  (ASSOCIAÇÃO DOWN THE AMO),SECRETARIA  DE ESTADO PARA INCLUSÃO DA PESSOA  COM DEFICIÊNCIA - SEID,50000.0,"Execução do Projeto Inclusão Down: Um caminho de Conexão"".",,Fomento
PI-EXEC-GOVERNADOR,2024,83/2024,AMIGOS E PROTETORES DOS ANIMAIS DE PICOS - APAPI ,SECRETARIA DE ESTADO DO  MEIO AMBIENTE E RECURSOS HÍDRICOS - SEMARH,70000.0,"Apoio financeiro para garantir a vida e saúde dos animais resgatados e abrigados pela APAPI, contribuindo para o seu bem-estar e aumentando as chances de adoção.",,Fomento
PI-EXEC-GOVERNADOR,2024,82/2024,INSTITUTO DE GESTÃO E DESENVOLVIMENTO SOCIAL - IGDS,"SECRETARIA DE ESTADO DA ASSISTÊNCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC",29725410.0,"Ofertar refeições diárias a preços populares em 05 (cinco) novos Restaurantes Populares, sendo 04 (quatro) em Teresina e 01 (um) em Parnaíba, voltados a atender prioritariamente, a população em situação de vulnerabilidade social, fortalecendo assim o Direito Humano à Alimentação Adequada – DHAA",,Fomento
PI-EXEC-GOVERNADOR,2024,81/2024,"ASSOCIAÇÃO DE ASSISTÊNCIA A EDUCAÇÃO, A SOCIEDADE E A CULTURA - AAESC",SECRETARIA DE ESTADO DA EDUCAÇÃO -SEDUC,100000.0,"O presente Termo de Fomento tem por objeto a cooperação financeira, visando garantir a manutenção dos serviços educacionais prestados pela AAESC através do oferecimento de cursos de redação e compreensão de textos com Base no Fortalecimento das competências e das habilidades da Matriz Curricular de Língua Portuguesa.",,Fomento
PI-EXEC-GOVERNADOR,2024,80/2024,FUNDAÇÃO TAQUARI ,SECRETARIA DE ESTADO DA EDUCAÇÃO -SEDUC,617309.3,"Realização de Cursos nas modalidades presencial e de preparação pare a ingresso de jovens e adultos de baixa renda no ingresso na universidade. A ação propõe a inclusão de atividades complementares ao sistema formal de ensino regular, com oferta para o Pré-Enem, visando a aproximação com a comunidade, a redução da evasão escolar e episódios de violência nas comunidades. As ações serão voltadas para os jovens e adultos, incluindo novas tecnologias nas vivências dos mesmos. temos como meta atender 2.000(dois mil) alunos entre jovens e adultos carentes e em situação de vulnerabilidade social, compreendendo a Grande Teresina e demais cidades do Estado do Piauí.",,Fomento
PI-EXEC-GOVERNADOR,2024,79/2024,ASSOCIAÇÃO DOS PEQUENOS AGRICULTORES DE INHUMA- PIAUÍ  - APAPI,SECRETARIA DE ESTADO DO  MEIO AMBIENTE E RECURSOS HÍDRICOS - SEMARH,70000.0,"Apoio financeiro para garantir a vida e saúde dos animais resgatados e abrigados pela APAPI, contribuindo para o seu bem-estar e aumentando as chances de adoção.",Termo em elaboração,Fomento
PI-EXEC-GOVERNADOR,2024,78/2024,entidade, CONTROLADORIA GERAL DO ESTADO - CGE,10000.0,teste,Termo em elaboração,Fomento
PI-EXEC-GOVERNADOR,2024,77/2024,INSTITUTO DE DESENVOLVIMENTO DO NORDESTE (IDENE),SECRETARIA DE ESTADO DA SAÚDE DO PIAUÍ - SESAPI,1620143.2,"Implementar o programa AMEI (Atendimento Médico Especializado Itinerante) nos municípios de Amarante, Nazaré, São Miguel do Fidalgo, São José do Peixe, Santa Rosa, Ipiranga, São Pedro, Simplício Mendes e Colônia do Piauí, todos no estado do Piauí. Realizar consultas e exames para prevenção e diagnósticos de doenças com as seguintes especialidades médicas: urologista, vascular, ginecologista, cardiologista e dermatologista; • Desenvolver estratégias de conscientização sobre a importância da prevenção e diagnóstico precoce de doenças; • Estimular a realização de exames preventivos e consultas periódicas entre a população atendida. • Proporcionar acesso facilitado a informações relevantes sobre hábitos saudáveis e práticas de autocuidado.",,Fomento
PI-EXEC-GOVERNADOR,2024,1/2024,PREFEITURA MUNICIPAL DE SANTA LUZ,SECRETARIA DE ESTADO DA EDUCAÇÃO -SEDUC,231000.0,"O presente Convênio tem por objeto REFORMA DE ESCOLA MUNICIPAL NA ZONA URBANA DO MUNICÍPIO DE SANTA LUZ-PI, de acordo com o Plano de Trabalho devidamente aprovado.",Termo em elaboração,
PI-EXEC-GOVERNADOR,2024,76/2024,INSTITUTO PRESENTE (IP),SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,84000.0,Realização da Promoção das Obras de Autores Piauienses junto as Escolas Públicas (Leitura PRESENTE: Valorização da Leitura através dos Autores Piauienses),,Fomento
PI-EXEC-GOVERNADOR,2024,75/2024,ASSOCIAÇÃO COMUNITARIA SAGRADO CORAÇÃO DE JESUS ,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR - SAF,100777.58,"Apoio financeiro para realização da feira ""Jovens que se Importam, Conexão Jovem de Milton Brandão-PI"", visando a integração entre o campo e a cidade.",,Colaboração
PI-EXEC-GOVERNADOR,2024,74/2024,ASSOCIAÇÃO CULTURAL JUNINA TERESINA SHOW,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,150000.0,"O Projeto Grupo Cultural Junino Luar do São João consiste na criação, produção, formação, intercâmbio, circulação e divulgação de espetáculos juninos de artes cênicas, com o objetivo de democratizar o acesso aos espetáculos de danças, músicas e encenações típicas das quadrilhas juninas por intermédio do Grupo Cultural Junino Luar do São João.",,Fomento
